,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
14,14,5SpoN8sCoc05RfVde4raGN,Straight Tequila Night,John Anderson,https://p.scdn.co/mp3-preview/76cd47727359d1a91978879e7dc62679e04d96a9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.64,0.639,9,-10.11,1,0.0331,0.134,0.0,0.178,0.593,109.263,173867,4
15,15,18BajNiyvH6GpYshB0unrm,Should've Been A Cowboy,Toby Keith,https://p.scdn.co/mp3-preview/baafcd312d347a0297536c93a61f2c2afcb48c34?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.585,0.793,7,-3.713,1,0.0322,0.351,0.0,0.3,0.732,133.839,208413,4
16,16,5TXtn8dOWu3E68OuLC6xLo,Let's All Help the Cowboys (Sing the Blues),Colter Wall,https://p.scdn.co/mp3-preview/7f952205f60cf633b0e8edb1e071c282f41eb410?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.62,0.345,9,-9.274,1,0.0357,0.928,0.0,0.0797,0.368,127.012,184040,4
17,17,178OI1A3qjROeFeh8lmNwW,Traveller,Chris Stapleton,https://p.scdn.co/mp3-preview/fa3ccea7b7b8c88c019665a58eefee22e2c748a4?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.543,0.75,2,-7.071,0,0.0282,0.0682,0.0166,0.125,0.758,88.107,222413,4
18,18,7rwKNqgVO0OfdOLNSKfYR4,Caroline,Colter Wall,https://p.scdn.co/mp3-preview/448211844989f081bbe2384041311624106442be?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.507,0.18,6,-15.229,1,0.0379,0.83,0.255,0.106,0.507,73.807,173760,4
19,18,7rwKNqgVO0OfdOLNSKfYR4,Caroline,Colter Wall,https://p.scdn.co/mp3-preview/448211844989f081bbe2384041311624106442be?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.507,0.18,6,-15.229,1,0.0379,0.83,0.255,0.106,0.507,73.807,173760,4
20,31,7rwKNqgVO0OfdOLNSKfYR4,Caroline,Colter Wall,https://p.scdn.co/mp3-preview/448211844989f081bbe2384041311624106442be?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,bluegrass,3.0,0.507,0.18,6,-15.229,1,0.0379,0.83,0.255,0.106,0.507,73.807,173760,4
21,31,7rwKNqgVO0OfdOLNSKfYR4,Caroline,Colter Wall,https://p.scdn.co/mp3-preview/448211844989f081bbe2384041311624106442be?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,bluegrass,3.0,0.507,0.18,6,-15.229,1,0.0379,0.83,0.255,0.106,0.507,73.807,173760,4
22,19,1SfmBUgRfSDAl7pbfY6ks0,Baby Do,Randall King,https://p.scdn.co/mp3-preview/5a57eaadca5e5c37ba9fc19283c1befb7cee60aa?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.675,0.859,7,-5.509,1,0.0324,0.00593,0.0048,0.123,0.61,116.053,208392,4
23,20,3OjNkFFZavF89xvRqWCXmU,On My Way to You,Cody Johnson,https://p.scdn.co/mp3-preview/eac446b4693dcfc5c7b59067695941a72f4042e3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.443,0.538,1,-5.477,1,0.0309,0.327,4.61e-05,0.0866,0.245,157.97,213307,4
24,21,48nZLOpJOINkICPWpUuhaN,Universal Sound,Tyler Childers,https://p.scdn.co/mp3-preview/929ad8aa70ce7de4f7d862e7e4ac7d84d2f189ff?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.672,0.437,5,-9.656,1,0.0368,0.85,0.261,0.107,0.636,101.588,221600,4
25,22,19MkwMrRjO7773zpuGss1o,Shake the Frost (Live),Tyler Childers,https://p.scdn.co/mp3-preview/049e48285409622cc39d16a337fe066158edef7f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.447,0.341,2,-9.769,1,0.0457,0.806,2.05e-06,0.686,0.371,138.969,175120,4
