,class,song_title,artist,id,mfcc0,mfcc1,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc2,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc3,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9
890,bluegrass,Polly Vaughn,The Dillards,0EPJB1ozouVQYW1qfHtWS1,-164.65422,127.81677,-8.18803,10.184731,-1.1494093,4.916532,-4.0403833,6.1846056,-3.181494,2.3540611,-11.522513,-4.6370096,-32.60568,-7.327654,0.7775139,-4.5139728,-1.1551138,0.010571364,-5.7644887,-10.087792,-4.3551826,3.4823387,-0.014912514,27.310242,-0.53607893,-7.9939637,-5.862363,0.6063393,4.759909,1.899388,0.67108905,-4.9430428,-5.4940443,-5.60903,-11.569004,10.849547,-14.434193,11.986463,-16.165237,8.172539
891,bluegrass,Abigail,Chatham Rabbits,2yWj6P3Ldax9Xj8Em2VMC7,-63.090897,115.9889,-13.83442,8.729937,-14.852151,8.976971,-9.792554,6.0394607,-7.839398,2.9469163,-11.50189,5.7897787,-12.716761,-7.957822,4.7444882,-2.3966196,3.7897005,-7.271501,-5.3889313,-11.844424,2.0088878,1.689664,8.263255,35.45912,-1.4204427,-3.2861967,-6.065429,1.2167557,-2.660795,-1.7024478,-3.9701004,-2.4612463,-7.5561576,-6.970574,-6.382022,1.0914656,-14.586942,5.0173573,-7.1620264,2.6246321
892,bluegrass,Arkansas Without You,Darren Nicholson,3q6PzCFOMlKLHuWhssEkSK,-74.70962,102.60379,-5.9320745,13.346923,-10.033664,6.112597,-8.09609,12.482696,-5.1907544,5.242035,-5.3356323,2.3276973,1.3968403,-1.8980747,6.3080463,-7.1886654,2.2250361,-9.577773,-1.5683795,-5.5948973,4.039364,-2.832183,-2.4507818,43.93138,-2.9671426,1.1181314,-1.4192038,-1.1945639,-3.03658,-1.4007618,-5.331777,-2.590547,-2.7104511,-0.71562725,-9.025889,15.153118,-7.304389,11.407086,-14.454972,14.09863
893,bluegrass,For Your Love,Michael Cleveland,0X0TSKvyAKxPYiv4HB7WOQ,-53.70395,116.884384,-12.216729,3.62235,-9.956468,7.08401,-4.560687,9.083996,-12.042593,0.70803714,-6.565522,2.3431952,-19.665005,-7.577816,1.3035213,-7.0226803,0.6483581,-7.721899,2.2535183,-3.3388581,0.07312873,-2.9598796,-2.8728065,32.018627,-2.8565776,3.0662162,3.1852288,-1.3273698,-6.979339,-4.4831047,-5.150342,-1.4148961,-0.12858698,-3.308184,-19.20303,17.839283,-8.232134,6.088117,-8.863294,3.283707
894,bluegrass,Rockwood Deer Chase,Jim Mills,4NTLffbJf3EU7LqcLYVlEd,-157.41112,125.613014,-10.565833,4.0378795,-10.815302,7.222837,-8.067871,3.4193246,-0.5294282,9.574784,-3.6824327,0.025030248,-25.963392,-3.5634875,-8.102347,-5.0590067,6.609839,2.815155,4.30423,-3.800629,-7.3726306,-3.6069705,1.8422765,33.044113,-0.6535067,-4.707384,-2.828086,-2.1410735,1.0015804,-5.1041446,-0.5014188,1.2374523,5.745944,-4.6226,-29.960737,7.6048703,-18.66411,-1.1741246,-12.230959,1.8175671
895,bluegrass,Sea Of Heartbreak,Special Consensus,602gtPqmrs7PMKVPeE0j7R,-90.552475,126.483505,-13.521356,5.7935643,-6.3308597,6.6930146,-8.809927,3.989416,-7.936699,2.9035583,-5.838923,-0.9537134,-14.433855,0.5426209,7.433998,-2.129716,0.99062514,-3.6631975,-3.549796,-3.6296911,4.5777836,3.1157641,-1.4177294,34.10398,-5.0541873,-7.8294115,-2.663332,-0.68570286,0.15850064,-1.4143008,-5.188616,-3.7890935,-1.3556651,-1.7117317,-10.906144,17.009697,-7.761759,10.370972,-8.388475,9.161495
896,bluegrass,The Devil In You,The Haunted Windchimes,2JdrptIXTn0xLCy3gRVbMx,-155.94081,123.71168,-13.105565,-4.68145,-14.805943,1.1500125,-17.743938,-4.9940085,-16.144394,-0.36497116,-13.996753,-2.4218497,-17.190311,-11.873602,-6.11873,-14.308424,-0.07539604,-0.99069685,-2.2023807,-5.5125995,-5.9373374,-7.924168,-4.3733296,45.999973,-1.8124985,-3.457555,-3.4677975,-5.9554667,-6.84015,-5.4242644,-6.1157713,-5.892878,-6.507434,-1.3985543,-4.8393426,8.484471,-4.849777,-4.843843,-14.005888,-6.2216873
897,bluegrass,Love Letter,The Wild Reeds,3l6KKhbzmDDy4ye0qqgTEf,-136.29085,116.28294,-18.88756,-9.323074,-29.23279,-2.3377213,-13.243076,1.4267011,-6.85796,3.631248,-4.168108,9.188741,-24.298372,-7.3568106,-1.862655,-4.4634185,-1.7714236,-3.1628797,3.7046862,1.9941832,6.462471,5.744781,4.7238235,7.2005,-3.334654,0.97377664,5.7238708,3.672115,1.879004,2.770275,-3.9624257,-0.9447414,0.48702866,-1.8981571,-20.0783,-26.174086,-30.448792,-8.055401,-20.507689,-8.284225
898,bluegrass,Bobcat On the Banjo,Kyle Tuttle,1tuJyZqZy0P34uPcwVFoo7,-91.769775,152.83905,-7.619093,5.562336,-4.0167994,3.005232,-2.451383,5.272826,1.0525818,7.4254303,-5.7674103,-5.6105814,-35.04799,-6.6232057,-2.438779,-2.320987,0.464403,-2.7204764,-6.595875,-4.288773,-2.0576205,-5.9815173,-5.8433065,27.912243,2.3178298,3.0591254,0.053047344,-5.1686363,-5.9157953,-8.656329,-1.1828396,-0.61484945,-3.8490357,-7.252674,-15.342287,10.388112,-11.153333,10.086916,-2.751296,6.808512
899,bluegrass,Blue Side Of The Mountain,The Steeldrivers,5RQsNib1m9Hxo2AIjJcdpK,-53.48861,121.14619,-16.154322,10.510481,-12.502086,2.950997,-7.2457213,4.448882,-8.766263,7.0717335,-10.266453,2.6929872,-19.393341,-5.9656444,1.9191481,-1.5660719,1.8771214,-5.0170546,-3.218066,-7.1278057,-0.9832485,-4.3938265,-1.2126372,45.40663,-2.6576877,-0.7572765,1.4091945,-2.3904228,-8.432042,-4.536686,-2.5076144,-5.062597,-8.432459,-5.879117,-15.776966,14.996076,-1.8153983,3.5254326,-9.744299,11.603329
